id,source,query,title,company,location,posted,url,status,fit_score,notes,added_at,applied_at,followup_at
040a2dcbe1080dee,indeed,software engineer,Jr. Software Developer,PBS Systems,"Calgary, AB",,https://ca.indeed.com/viewjob?jk=040a2dcbe1080dee,new,,Junior; needs review. Likely not React/Node-focused?,2026-02-01T00:55:59,,
9593dcc921259146,indeed,software engineer / developer,Salesforce Developer,Parkland,"Calgary, AB",,https://ca.indeed.com/viewjob?jk=9593dcc921259146,skip,,Salesforce-specific; you previously said React/Node/Architect. Decide if we skip Salesforce roles. Auto-skip: Salesforce-only roles.,2026-02-01T00:55:59,,
1884b0ea302d035b,indeed,node developer,Senior Software Developer,Seequent,"Calgary, AB (Hybrid)",,https://ca.indeed.com/viewjob?jk=1884b0ea302d035b,apply,,"Front-end role (Seequent Labs): build cloud-native web app prototypes; integrate AI/agentic workflows; interactive UI for complex 1D/2D/3D data; rapid UI/UX iteration; maintain portal + front-end libraries; apply on company site. (Indeed profile-insights shows Usability/Python/Agile, but JD is explicitly Front-End.)",2026-02-01T01:02:56,,
1be98a589562856e,indeed,full stack developer,Software Engineer,Flair Airlines Ltd.,"Calgary, AB",,https://ca.indeed.com/viewjob?jk=1be98a589562856e,new,,Review stack; likely full-stack internal product.,2026-02-01T01:02:56,,
0c9b0be9b8cfc4d5,indeed,node developer,"Senior Developer, Backend - Practitioner Experience",Fullscript,"Calgary, AB (Remote)",,https://ca.indeed.com/viewjob?jk=0c9b0be9b8cfc4d5,apply,,Corrected: this jk is Fullscript backend. Ruby/Rails highlighted on Indeed; strong match.,2026-02-01T09:00:16,,
4dd76a1cd5510320,indeed,node developer,"Manager, Software Development",Promise Robotics,"Hybrid work in Calgary, AB",,https://ca.indeed.com/viewjob?jk=4dd76a1cd5510320,maybe,,Management track; confirm you want manager roles vs IC architect.,2026-02-01T09:00:16,,
b0fe2259536c6e61,indeed,node developer,Sr. SAP Developer,S4A IT Solutions,"Hybrid Calgary, AB",,https://ca.indeed.com/viewjob?jk=b0fe2259536c6e61,skip,,"Auto-skip: SAP-specific, not React/Node.",2026-02-01T09:04:28,,
d2c6d7c343c31c1f,indeed,node developer,EVCN Cloud Architecte,Ericsson,"Calgary, AB",,https://ca.indeed.com/viewjob?jk=d2c6d7c343c31c1f,skip,,Auto-skip: cloud architect/devops-leaning (not target).,2026-02-01T09:04:28,,
2ffe18f0359efc10,indeed,full stack developer,AI Architect Engineer for Veterinary App,Biocode Ai,Remote in Canada,,https://ca.indeed.com/viewjob?jk=2ffe18f0359efc10,maybe,,Architect-ish but AI-focused; review if still relevant.,2026-02-01T09:04:28,,
71dbc9b79098d920,indeed,full stack developer,Senior Software Engineer - Payment Experience,Paramount Commerce,"Calgary, AB",,https://ca.indeed.com/viewjob?jk=71dbc9b79098d920,skip,,Fintech/payments team. Heavy Go + Kubernetes + distributed systems + on-call/SRE expectations → auto-skip (DevOps-heavy).,2026-02-01T11:23:59-07:00,,
41fbc0e27671e629,indeed,full stack developer,full stack developer,Gemstone Lights,"Calgary, AB",,https://ca.indeed.com/viewjob?jk=41fbc0e27671e629,skip,,"Generic web dev (PHP, jQuery, MySQL, Angular/React mentions) + e-commerce site work; not a React/Node-focused role.",2026-02-01T11:23:59-07:00,,
7dc58148d1e80106,indeed,node developer,Senior Engineer,WestJet,"Calgary, AB",,https://ca.indeed.com/viewjob?jk=7dc58148d1e80106,skip,,"Integration/platform lead: Java Spring, Azure, Kafka/messaging, microservices + on-call; devops/integration-heavy → skip.",2026-02-01T11:23:59-07:00,,
7754286dcc4f43ec,indeed,frontend developer,Front End CMS Developer,Boardwalk,"Calgary, AB",,https://ca.indeed.com/viewjob?jk=7754286dcc4f43ec,maybe,,"6-mo contract. HubSpot CMS theming/components (HubL/HubDB), HTML/CSS/JS, accessibility, marketing site workflow. Niche CMS focus but reasonable front-end work.",2026-02-01T11:23:59-07:00,,
83a40eb56a589b5f,indeed,node developer,"Manager, Software Development",Promise Robotics,"Calgary, AB",,https://ca.indeed.com/viewjob?jk=83a40eb56a589b5f,maybe,,Manager role leading engineers building modeling automation/platform services (BIM/CAD-like domain). Mentoring/hiring + delivery ownership; C#/Python; some DevOps. Auto-maybe (manager).,2026-02-01T11:23:59-07:00,,
f379791ecc045c04,indeed,node developer,Sr. SAP Developer,S4A IT Solutions,"Calgary, AB",,https://ca.indeed.com/viewjob?jk=f379791ecc045c04,skip,,"SAP-focused (ABAP, Fiori/UI5, Neptune SDK) → auto-skip (SAP-only).",2026-02-01T11:23:59-07:00,,
c60a38d64742f284,indeed,software engineer,software engineer,Trufla Technology,"Calgary, AB T2P 1J2",,https://ca.indeed.com/viewjob?jk=c60a38d64742f284,new,,Insurance software company; permanent/hybrid. NOC-style post but mentions AWS + React/React Native; 5+ yrs; full lifecycle + leading dev teams. Worth a closer look for actual stack/team.,2026-02-01T11:23:59-07:00,,
fd8e30b02a9857da,indeed,node developer,Senior Java Developer,Bounteous,"Calgary, AB",,https://ca.indeed.com/viewjob?jk=fd8e30b02a9857da,skip,,Java web services/APIs for mobile services platform; not a React/Node target role.,2026-02-01T11:23:59-07:00,,
f1ba54779070e0de,indeed,full stack developer,Jr. Software Developer,PBS Systems,"Calgary, AB",,https://ca.indeed.com/viewjob?jk=f1ba54779070e0de,skip,,Entry-level .NET (VB/C#) in-office; mismatch for senior React/Node track.,2026-02-01T11:23:59-07:00,,
